post_id,platform,post_text,post_type,likes,shares,comments,date
1,LinkedIn,Live Session: Generative AI Governance Best Practices,webinar,1060,1394,91,2024-12-13
2,LinkedIn,Cloud-Native Digital Transformation Whitepaper,whitepaper,666,1338,478,2024-10-11
3,LinkedIn,Urgent: Zero-Day mitigation strategy for Azure,alert,3371,971,150,2024-05-20
4,LinkedIn,Urgent: DDoS mitigation strategy for Hybrid Clouds,alert,969,443,433,2024-09-07
5,Twitter,Live Session: SOC2 Compliance Best Practices,webinar,1315,463,180,2024-10-19
6,Facebook,Urgent: Zero-Day mitigation strategy for Hybrid Clouds,alert,71,262,364,2024-08-08
7,LinkedIn,New Release: v4.0 introduces multi-cloud cost analytics,product_update,1282,610,495,2024-07-08
8,LinkedIn,New Release: v3.2 introduces multi-cloud cost analytics,product_update,2006,289,465,2025-02-27
9,LinkedIn,Urgent: DDoS mitigation strategy for Azure,alert,1467,931,326,2025-02-23
10,LinkedIn,AI-Driven Digital Transformation Whitepaper,whitepaper,3088,266,407,2024-06-29
11,LinkedIn,Urgent: Zero-Day mitigation strategy for Hybrid Clouds,alert,2261,341,365,2025-02-18
12,LinkedIn,Live Session: SOC2 Compliance Best Practices,webinar,1563,191,463,2024-07-12
13,Facebook,Live Session: Generative AI Governance Best Practices,webinar,558,273,54,2025-03-09
14,LinkedIn,Cloud-Native Digital Transformation Whitepaper,whitepaper,2155,1685,407,2025-01-09
15,LinkedIn,Live Session: Generative AI Governance Best Practices,webinar,2813,1229,329,2024-12-02
16,Facebook,Case Study: Thompson-Baker achieved 83% fraud prevention,case_study,451,227,181,2024-12-06
17,LinkedIn,Live Session: Generative AI Governance Best Practices,webinar,1195,369,323,2024-12-28
18,Twitter,New Release: v4.0 introduces real-time threat detection,product_update,1375,209,232,2024-12-01
19,LinkedIn,Case Study: Dean-Marquez achieved 92% cost reduction,case_study,537,978,299,2024-04-23
20,Facebook,Case Study: Carter Inc achieved 84% API latency improvement,case_study,813,197,60,2024-04-29
21,LinkedIn,Cloud-Native Compliance Framework Whitepaper,whitepaper,4084,164,346,2024-12-06
22,LinkedIn,Urgent: DDoS mitigation strategy for Azure,alert,2227,747,82,2024-11-07
23,LinkedIn,New Release: v3.2 introduces multi-cloud cost analytics,product_update,591,1798,308,2024-06-27
24,Twitter,Case Study: Phillips and Sons achieved 67% fraud prevention,case_study,330,60,154,2024-08-20
25,LinkedIn,Urgent: DDoS mitigation strategy for Hybrid Clouds,alert,3304,1171,426,2025-03-18
26,LinkedIn,"Case Study: Flores, Oliver and King achieved 83% API latency improvement",case_study,1004,198,379,2024-10-11
27,LinkedIn,New Release: v4.0 introduces multi-cloud cost analytics,product_update,1770,1060,120,2024-12-16
28,Facebook,New Release: v3.2 introduces multi-cloud cost analytics,product_update,692,266,237,2024-09-09
29,Twitter,Live Session: Generative AI Governance Best Practices,webinar,970,302,226,2024-11-22
30,LinkedIn,Urgent: DDoS mitigation strategy for Hybrid Clouds,alert,1684,1814,250,2024-12-25
31,LinkedIn,Cloud-Native Digital Transformation Whitepaper,whitepaper,4391,1857,426,2024-08-22
32,LinkedIn,Case Study: Owens Group achieved 68% fraud prevention,case_study,1878,1294,55,2024-05-24
33,LinkedIn,Case Study: Beard-Barry achieved 61% cost reduction,case_study,1922,1366,303,2024-09-03
34,LinkedIn,Case Study: Chen Ltd achieved 45% fraud prevention,case_study,1797,1112,303,2025-03-26
35,LinkedIn,Cloud-Native Digital Transformation Whitepaper,whitepaper,3827,1463,465,2024-05-27
36,Twitter,AI-Driven Compliance Framework Whitepaper,whitepaper,1471,492,209,2024-09-12
37,LinkedIn,Live Session: Generative AI Governance Best Practices,webinar,1506,732,480,2024-10-31
38,LinkedIn,Case Study: Mcdowell Inc achieved 66% fraud prevention,case_study,909,1579,156,2024-07-29
