comment_id,post_id,platform,comment_text,user,likes,date
1,1,LinkedIn,Deployed this across our 26 locations!,@victoria64_Security Engineer,99,2024-12-13
2,1,LinkedIn,Deployed this across our 35 locations!,@daniel53_Security Engineer,68,2024-12-14
3,1,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@timothymiller_Security Engineer,99,2024-12-13
4,2,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@panderson_Cloud Architect,38,2024-10-12
5,2,LinkedIn,Deployed this across our 22 locations!,@ecampbell_Cloud Architect,64,2024-10-11
6,2,LinkedIn,Terraform provider available?,@douglas90_Cloud Architect,9,2024-10-11
7,3,LinkedIn,Kubernetes integration works flawlessly,@lamdavid_Cloud Architect,97,2024-05-21
8,3,LinkedIn,Zero Trust integration works flawlessly,@oweiss_CIO,21,2024-05-22
9,3,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@wlane_CIO,34,2024-05-22
10,4,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@russell87_Cloud Architect,49,2024-09-09
11,4,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@alexandra31_CTO,88,2024-09-07
12,4,LinkedIn,Deployed this across our 14 locations!,@gallagherjames_CTO,32,2024-09-07
13,4,LinkedIn,Pricing for non-profits?,@xvaughn_CIO,8,2024-09-07
14,5,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@phillip80_Security Engineer,43,2024-10-19
15,5,Twitter,Deployed this across our 33 locations!,@harrisallison_Security Engineer,99,2024-10-19
16,5,Twitter,Zero Trust integration works flawlessly,@mccoyphillip_Security Engineer,21,2024-10-20
17,6,Facebook,Zero Trust integration works flawlessly,@mcdanielemily_Cloud Architect,52,2024-08-10
18,6,Facebook,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jennifer37_Cloud Architect,28,2024-08-10
19,6,Facebook,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@walkerrobin_CTO,5,2024-08-09
20,6,Facebook,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@nguyenheather_Security Engineer,96,2024-08-09
21,6,Facebook,Terraform provider available?,@brightlauren_CTO,96,2024-08-08
22,7,LinkedIn,Pricing for enterprises?,@mendozaphillip_CIO,25,2024-07-08
23,7,LinkedIn,Deployed this across our 24 locations!,@crystal64_CTO,50,2024-07-10
24,7,LinkedIn,Deployed this across our 45 locations!,@turnertina_CIO,68,2024-07-09
25,7,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@grichards_CIO,89,2024-07-09
26,7,LinkedIn,Pricing for enterprises?,@rebeccawaller_Security Engineer,62,2024-07-10
27,8,LinkedIn,SIEM compatibility issues in v2.1,@julianbrown_Cloud Architect,36,2025-03-01
28,8,LinkedIn,Terraform provider available?,@fosterbeth_CIO,2,2025-02-28
29,8,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@cassandra18_Cloud Architect,95,2025-02-28
30,8,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@hwilliams_CTO,17,2025-02-28
31,9,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@gvega_CIO,59,2025-02-24
32,9,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@robertsmith_CTO,22,2025-02-24
33,9,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@mark58_CIO,44,2025-02-25
34,9,LinkedIn,Deployed this across our 30 locations!,@francesramirez_CIO,99,2025-02-24
35,9,LinkedIn,Terraform provider available?,@charlesjackson_Security Engineer,39,2025-02-23
36,10,LinkedIn,Deployed this across our 30 locations!,@jclark_Security Engineer,13,2024-06-30
37,10,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@melissadavis_Cloud Architect,46,2024-06-30
38,10,LinkedIn,Pricing for non-profits?,@kharris_Cloud Architect,23,2024-07-01
39,11,LinkedIn,Pricing for enterprises?,@gregoryhansen_CIO,89,2025-02-19
40,11,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@bradley08_CIO,29,2025-02-18
41,11,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@michaelnelson_CTO,50,2025-02-20
42,11,LinkedIn,Deployed this across our 32 locations!,@danielle23_CIO,88,2025-02-18
43,12,LinkedIn,Kubernetes integration works flawlessly,@connerbelinda_Security Engineer,56,2024-07-14
44,12,LinkedIn,Pricing for enterprises?,@brownkatie_CTO,19,2024-07-14
45,12,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@amandamadden_Security Engineer,25,2024-07-12
46,12,LinkedIn,Pricing for enterprises?,@christinagarner_CIO,58,2024-07-12
47,13,Facebook,Zero Trust integration works flawlessly,@summersjonathan_CTO,4,2025-03-11
48,13,Facebook,IaC compatibility issues in v3.0,@kpatterson_Security Engineer,89,2025-03-10
49,13,Facebook,SIEM integration works flawlessly,@kimberlymclaughlin_CTO,91,2025-03-11
50,14,LinkedIn,Zero Trust compatibility issues in v3.0,@andrew84_CTO,13,2025-01-09
51,14,LinkedIn,IaC integration works flawlessly,@guyalexander_Cloud Architect,86,2025-01-10
52,14,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@buchananjames_CTO,54,2025-01-09
53,14,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@cody34_CIO,53,2025-01-09
54,15,LinkedIn,LLM integration works flawlessly,@jonesheather_Cloud Architect,70,2024-12-04
55,15,LinkedIn,Kubernetes integration works flawlessly,@karen61_Security Engineer,4,2024-12-03
56,15,LinkedIn,Terraform provider available?,@lucas94_Cloud Architect,99,2024-12-03
57,15,LinkedIn,Deployed this across our 47 locations!,@sbolton_Security Engineer,85,2024-12-03
58,15,LinkedIn,Terraform provider available?,@kelsey83_CTO,21,2024-12-03
59,16,Facebook,Deployed this across our 29 locations!,@johnsonrobert_Security Engineer,17,2024-12-08
60,16,Facebook,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@joshuajohnson_Security Engineer,4,2024-12-06
61,16,Facebook,Deployed this across our 33 locations!,@fkelly_CTO,80,2024-12-07
62,16,Facebook,Terraform provider available?,@phamfred_Security Engineer,4,2024-12-07
63,17,LinkedIn,Deployed this across our 28 locations!,@zbaker_Cloud Architect,31,2024-12-30
64,17,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@michaelrobertson_Security Engineer,22,2024-12-28
65,17,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@jsalinas_CTO,31,2024-12-30
66,17,LinkedIn,Zero Trust integration works flawlessly,@ian55_CIO,55,2024-12-28
67,18,Twitter,Deployed this across our 27 locations!,@jamie87_Cloud Architect,63,2024-12-01
68,18,Twitter,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@timothy98_CIO,45,2024-12-01
69,18,Twitter,Deployed this across our 15 locations!,@jasonmartin_CTO,4,2024-12-03
70,18,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@brownanne_CIO,47,2024-12-02
71,18,Twitter,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@ksweeney_Security Engineer,9,2024-12-02
72,19,LinkedIn,SIEM compatibility issues in v3.0,@gayryan_Cloud Architect,61,2024-04-24
73,19,LinkedIn,Zero Trust integration works flawlessly,@jennifer60_Security Engineer,77,2024-04-25
74,19,LinkedIn,Deployed this across our 39 locations!,@kristen90_CTO,70,2024-04-23
75,20,Facebook,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@fmalone_Cloud Architect,42,2024-05-01
76,20,Facebook,LLM compatibility issues in v2.1,@mary54_CTO,69,2024-04-29
77,20,Facebook,IaC integration works flawlessly,@jacobmays_CIO,49,2024-04-29
78,20,Facebook,LLM compatibility issues in v3.0,@matthewtaylor_CIO,5,2024-04-30
79,20,Facebook,Kubernetes compatibility issues in v3.0,@stewartjacqueline_Cloud Architect,39,2024-04-30
80,21,LinkedIn,Deployed this across our 33 locations!,@longshannon_Security Engineer,57,2024-12-07
81,21,LinkedIn,Zero Trust compatibility issues in v3.0,@kerrirobinson_Security Engineer,46,2024-12-06
82,21,LinkedIn,Deployed this across our 33 locations!,@natasha13_CIO,89,2024-12-06
83,21,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@billyhuffman_Cloud Architect,30,2024-12-07
84,21,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@kimberly13_Cloud Architect,35,2024-12-08
85,22,LinkedIn,Terraform provider available?,@ochristensen_CTO,10,2024-11-08
86,22,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@denisejones_CTO,77,2024-11-08
87,22,LinkedIn,"Support ticket #{fake.random_int(1000,9999)} still unresolved",@cummingsmariah_CIO,56,2024-11-09
88,22,LinkedIn,Deployed this across our 27 locations!,@vlane_Security Engineer,57,2024-11-07
89,23,LinkedIn,IaC integration works flawlessly,@ggonzalez_CTO,7,2024-06-28
90,23,LinkedIn,Deployed this across our 41 locations!,@troyyoder_Cloud Architect,75,2024-06-29
91,23,LinkedIn,Terraform provider available?,@lambjesus_CIO,21,2024-06-28
92,23,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@michelle20_CIO,14,2024-06-27
93,24,Twitter,SIEM compatibility issues in v2.1,@qsmith_CTO,82,2024-08-20
94,24,Twitter,Deployed this across our 32 locations!,@amanda71_Cloud Architect,90,2024-08-20
95,24,Twitter,Pricing for enterprises?,@amandadixon_CIO,49,2024-08-22
96,25,LinkedIn,IaC compatibility issues in v2.1,@gmedina_Cloud Architect,12,2025-03-18
97,25,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@cody84_CTO,50,2025-03-18
98,25,LinkedIn,SIEM integration works flawlessly,@thudson_CIO,86,2025-03-20
99,25,LinkedIn,Kubernetes integration works flawlessly,@james40_CTO,24,2025-03-18
100,25,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@mckenzieruiz_Cloud Architect,58,2025-03-20
101,26,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@katherine08_CIO,86,2024-10-11
102,26,LinkedIn,SIEM integration works flawlessly,@markharris_CIO,70,2024-10-12
103,26,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@kbryant_Security Engineer,98,2024-10-11
104,27,LinkedIn,Deployed this across our 14 locations!,@ytran_CIO,2,2024-12-17
105,27,LinkedIn,"SLA breach during {fake.random_element(['migration','pen test'])}",@ryanwatts_CTO,74,2024-12-17
106,27,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@nixonterry_CTO,86,2024-12-18
107,27,LinkedIn,"Roadmap for {fake.random_element(['FedRAMP','GDPR'])} certification?",@brittany15_CIO,38,2024-12-18
108,28,Facebook,Kubernetes integration works flawlessly,@xrichards_CIO,7,2024-09-09
109,28,Facebook,Deployed this across our 35 locations!,@zachary61_CTO,68,2024-09-10
110,28,Facebook,LLM integration works flawlessly,@martinezlogan_Cloud Architect,15,2024-09-09
111,28,Facebook,Pricing for enterprises?,@ashley37_CTO,92,2024-09-10
112,29,Twitter,"SLA breach during {fake.random_element(['migration','pen test'])}",@strongvanessa_CIO,58,2024-11-23
113,29,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@hansenjessica_Cloud Architect,25,2024-11-23
114,29,Twitter,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@jamesthompson_CIO,44,2024-11-22
115,29,Twitter,LLM compatibility issues in v3.0,@robinsonbarbara_CIO,99,2024-11-23
116,29,Twitter,Terraform provider available?,@ugriffin_CIO,52,2024-11-24
117,30,LinkedIn,"Our {fake.random_element(['auditors','board'])} loved the compliance features",@tiffanylewis_CTO,69,2024-12-27
